ep 244, a_n 25, epsilon 0.247, total_reward 59.473452427444364, step 16719
ep 245, a_n 58, epsilon 0.246, total_reward -24.500817877503284, step 16777
ep 246, a_n 41, epsilon 0.245, total_reward -10.06135349313833, step 16818
ep 247, a_n 61, epsilon 0.244, total_reward -26.577406785267936, step 16879
ep 248, a_n 69, epsilon 0.242, total_reward -21.787916381326866, step 16948
ep 249, a_n 97, epsilon 0.240, total_reward -29.39129198392288, step 17045
ep 250, a_n 37, epsilon 0.239, total_reward -2.754078969456568, step 17082
ep 251, a_n 46, epsilon 0.238, total_reward -14.583130756736447, step 17128
ep 252, a_n 87, epsilon 0.237, total_reward -27.68881112281734, step 17215
ep 253, a_n 40, epsilon 0.236, total_reward -8.992402925066596, step 17255
ep 254, a_n 41, epsilon 0.235, total_reward -14.33728841189595, step 17296
ep 255, a_n 29, epsilon 0.234, total_reward 29.280380626910578, step 17325
ep 256, a_n 26, epsilon 0.234, total_reward 46.92646328713107, step 17351
ep 257, a_n 35, epsilon 0.233, total_reward 5.331617673357485, step 17386
ep 258, a_n 93, epsilon 0.231, total_reward -31.02500941001691, step 17479
ep 259, a_n 19, epsilon 0.231, total_reward 134.14914112832412, step 17498
ep 260, a_n 100, epsilon 0.229, total_reward -31.603387063154777, step 17598
ep 261, a_n 38, epsilon 0.228, total_reward 34.2893701515952, step 17636
ep 262, a_n 16, epsilon 0.228, total_reward 212.03953526069765, step 17652
ep 263, a_n 100, epsilon 0.226, total_reward 0.15359892085115368, step 17752
ep 264, a_n 20, epsilon 0.225, total_reward 135.14144411564553, step 17772
ep 265, a_n 37, epsilon 0.224, total_reward 0.8288222282433821, step 17809
ep 266, a_n 35, epsilon 0.224, total_reward -1.0465953479603272, step 17844
ep 267, a_n 56, epsilon 0.223, total_reward -1.2209628502300918, step 17900
ep 268, a_n 35, epsilon 0.222, total_reward 3.6378139718372537, step 17935
ep 269, a_n 100, epsilon 0.220, total_reward -32.64328594267688, step 18035
ep 270, a_n 100, epsilon 0.218, total_reward 16.079216857630048, step 18135
ep 271, a_n 24, epsilon 0.218, total_reward 99.43447647356854, step 18159
ep 272, a_n 21, epsilon 0.217, total_reward 101.37122625959151, step 18180
ep 273, a_n 17, epsilon 0.217, total_reward 166.5813137225901, step 18197
ep 274, a_n 36, epsilon 0.216, total_reward 28.98772824461582, step 18233
ep 275, a_n 49, epsilon 0.215, total_reward -22.28438602509577, step 18282
ep 276, a_n 42, epsilon 0.215, total_reward -5.119123273300687, step 18324
ep 277, a_n 40, epsilon 0.214, total_reward 21.924939222201516, step 18364
ep 278, a_n 47, epsilon 0.213, total_reward -21.954439996402996, step 18411
ep 279, a_n 51, epsilon 0.212, total_reward 0.9517266676789246, step 18462
ep 280, a_n 15, epsilon 0.212, total_reward 215.3662474880531, step 18477
ep 281, a_n 23, epsilon 0.211, total_reward 82.1076047511496, step 18500
ep 282, a_n 47, epsilon 0.210, total_reward -19.253990042526052, step 18547
ep 283, a_n 21, epsilon 0.210, total_reward 130.5334227645063, step 18568
ep 284, a_n 27, epsilon 0.210, total_reward 43.94420151826834, step 18595
ep 285, a_n 25, epsilon 0.209, total_reward 89.49935112974403, step 18620
ep 286, a_n 33, epsilon 0.208, total_reward 16.898243741033713, step 18653
ep 287, a_n 45, epsilon 0.208, total_reward 13.407572894141502, step 18698
ep 288, a_n 30, epsilon 0.207, total_reward 23.43663552868136, step 18728
ep 289, a_n 24, epsilon 0.207, total_reward 72.72708858306268, step 18752
ep 290, a_n 40, epsilon 0.206, total_reward -9.037792114253527, step 18792
ep 291, a_n 83, epsilon 0.204, total_reward -28.605559346776843, step 18875
ep 292, a_n 100, epsilon 0.203, total_reward -32.302590889270874, step 18975
ep 293, a_n 58, epsilon 0.202, total_reward 17.477842991885257, step 19033
ep 294, a_n 68, epsilon 0.200, total_reward -30.612917696448896, step 19101
ep 295, a_n 100, epsilon 0.199, total_reward -24.42778503276018, step 19201
ep 296, a_n 19, epsilon 0.198, total_reward 145.2492179854495, step 19220
ep 297, a_n 27, epsilon 0.198, total_reward 46.59897432431718, step 19247
ep 298, a_n 23, epsilon 0.197, total_reward 80.43853867516697, step 19270
ep 299, a_n 100, epsilon 0.196, total_reward 4.795988683017219, step 19370
ep 300, a_n 17, epsilon 0.195, total_reward 208.93793130333205, step 19387
ep 301, a_n 29, epsilon 0.195, total_reward 28.83697212982361, step 19416
ep 302, a_n 15, epsilon 0.195, total_reward 214.86530977418485, step 19431
ep 303, a_n 100, epsilon 0.193, total_reward -20.558718215481733, step 19531
ep 304, a_n 26, epsilon 0.192, total_reward 59.35576038054996, step 19557
ep 305, a_n 14, epsilon 0.192, total_reward 242.13330590011964, step 19571
ep 306, a_n 20, epsilon 0.192, total_reward 118.80432493096177, step 19591
ep 307, a_n 61, epsilon 0.191, total_reward -24.371182480674882, step 19652
ep 308, a_n 24, epsilon 0.190, total_reward 69.21163966979108, step 19676
ep 309, a_n 100, epsilon 0.189, total_reward -24.3045663297362, step 19776
ep 310, a_n 18, epsilon 0.189, total_reward 179.25087612696262, step 19794
ep 311, a_n 54, epsilon 0.188, total_reward 4.867016040746283, step 19848
ep 312, a_n 54, epsilon 0.187, total_reward -22.180834985844474, step 19902
ep 313, a_n 46, epsilon 0.186, total_reward 18.80295003802643, step 19948
ep 314, a_n 49, epsilon 0.185, total_reward -19.28351749407337, step 19997
ep 315, a_n 18, epsilon 0.185, total_reward 150.9398651403661, step 20015
ep 316, a_n 18, epsilon 0.185, total_reward 178.20614832423294, step 20033
ep 317, a_n 59, epsilon 0.184, total_reward -14.907735443442236, step 20092
ep 318, a_n 51, epsilon 0.183, total_reward -22.81201999379308, step 20143
ep 319, a_n 16, epsilon 0.183, total_reward 191.05546877417314, step 20159
ep 320, a_n 15, epsilon 0.182, total_reward 215.2198712860683, step 20174
ep 321, a_n 16, epsilon 0.182, total_reward 217.61842407653856, step 20190
ep 322, a_n 100, epsilon 0.181, total_reward -30.717165132645682, step 20290
ep 323, a_n 33, epsilon 0.180, total_reward 11.975257329979076, step 20323
ep 324, a_n 35, epsilon 0.179, total_reward 4.568306775395662, step 20358
ep 325, a_n 32, epsilon 0.179, total_reward 16.048644924553617, step 20390
ep 326, a_n 100, epsilon 0.177, total_reward -25.443284626222688, step 20490
ep 327, a_n 16, epsilon 0.177, total_reward 206.5603166912667, step 20506
ep 328, a_n 26, epsilon 0.177, total_reward 52.46916109002885, step 20532
ep 329, a_n 42, epsilon 0.176, total_reward -10.903542869098464, step 20574
ep 330, a_n 40, epsilon 0.175, total_reward -7.594388945892284, step 20614
ep 331, a_n 23, epsilon 0.175, total_reward 107.7516459779979, step 20637
ep 332, a_n 59, epsilon 0.174, total_reward -18.289333345865366, step 20696
ep 333, a_n 28, epsilon 0.174, total_reward 34.243797698041675, step 20724
ep 334, a_n 46, epsilon 0.173, total_reward -12.721610624067967, step 20770
ep 335, a_n 19, epsilon 0.173, total_reward 132.5839768459182, step 20789
ep 336, a_n 19, epsilon 0.172, total_reward 134.70042919335594, step 20808
ep 337, a_n 54, epsilon 0.172, total_reward -28.746986472679986, step 20862
ep 338, a_n 44, epsilon 0.171, total_reward 9.115042049150183, step 20906
ep 339, a_n 22, epsilon 0.171, total_reward 92.18396739513855, step 20928
ep 340, a_n 24, epsilon 0.170, total_reward 67.36790353293668, step 20952
ep 341, a_n 35, epsilon 0.170, total_reward -0.47928403285756005, step 20987
ep 342, a_n 37, epsilon 0.169, total_reward 25.096055717572444, step 21024
ep 343, a_n 18, epsilon 0.169, total_reward 150.30459877720764, step 21042
ep 344, a_n 39, epsilon 0.168, total_reward -2.7698938339108423, step 21081
ep 345, a_n 48, epsilon 0.168, total_reward -20.245543182467344, step 21129
ep 346, a_n 51, epsilon 0.167, total_reward -25.412213497659035, step 21180
ep 347, a_n 56, epsilon 0.166, total_reward -13.537561142019513, step 21236
ep 348, a_n 53, epsilon 0.165, total_reward -15.20087765964977, step 21289
ep 349, a_n 21, epsilon 0.165, total_reward 103.22831719074487, step 21310
ep 350, a_n 56, epsilon 0.164, total_reward -30.319687783249666, step 21366
ep 351, a_n 15, epsilon 0.164, total_reward 215.98603560334843, step 21381
ep 352, a_n 26, epsilon 0.164, total_reward 49.825260147522556, step 21407
ep 353, a_n 21, epsilon 0.163, total_reward 132.66306373414926, step 21428
ep 354, a_n 28, epsilon 0.163, total_reward 37.96098362263062, step 21456
ep 355, a_n 33, epsilon 0.162, total_reward 13.655632112064616, step 21489
ep 356, a_n 17, epsilon 0.162, total_reward 170.52659233467182, step 21506
ep 357, a_n 41, epsilon 0.162, total_reward -2.3235115901436387, step 21547
ep 358, a_n 37, epsilon 0.161, total_reward 6.074069165628959, step 21584
ep 359, a_n 54, epsilon 0.160, total_reward -14.879220781295606, step 21638
ep 360, a_n 22, epsilon 0.160, total_reward 91.54569427472764, step 21660
ep 361, a_n 17, epsilon 0.160, total_reward 170.26453888787907, step 21677
ep 362, a_n 43, epsilon 0.159, total_reward -14.551967258199472, step 21720
ep 363, a_n 20, epsilon 0.159, total_reward 117.8724661895497, step 21740
ep 364, a_n 35, epsilon 0.158, total_reward 1.6912008655477848, step 21775
ep 365, a_n 35, epsilon 0.158, total_reward 2.5089806550438, step 21810
ep 366, a_n 68, epsilon 0.157, total_reward -27.394964211071663, step 21878
